ID,Area,Date,Time,Category
25125,נירים,17.11.2023,08:31:37,ירי רקטות וטילים
25124,סעד,17.11.2023,07:47:06,ירי רקטות וטילים
25123,כפר עזה,17.11.2023,07:47:06,ירי רקטות וטילים
25122,כרם שלום,16.11.2023,16:47:29,ירי רקטות וטילים
25121,ניר עוז,16.11.2023,16:29:07,ירי רקטות וטילים
25120,עין השלושה,16.11.2023,16:29:02,ירי רקטות וטילים
25119,נירים,16.11.2023,16:29:02,ירי רקטות וטילים
25118,שתולה,16.11.2023,14:36:53,ירי רקטות וטילים
25117,אבן מנחם,16.11.2023,14:35:15,ירי רקטות וטילים
25116,"שדרות, איבים, ניר עם",16.11.2023,13:59:51,ירי רקטות וטילים
25115,נחל עוז,16.11.2023,12:27:42,ירי רקטות וטילים
25114,עלומים,16.11.2023,11:22:08,ירי רקטות וטילים
25113,סעד,16.11.2023,11:22:08,ירי רקטות וטילים
25112,נחל עוז,16.11.2023,11:22:08,ירי רקטות וטילים
25111,כפר עזה,16.11.2023,11:22:08,ירי רקטות וטילים
25109,ניר יצחק,16.11.2023,06:45:52,ירי רקטות וטילים
25110,סופה,16.11.2023,06:45:47,ירי רקטות וטילים
25108,סעד,15.11.2023,21:20:00,ירי רקטות וטילים
25107,כפר עזה,15.11.2023,21:20:00,ירי רקטות וטילים
25105,סופה,15.11.2023,18:15:42,ירי רקטות וטילים
25106,ניר יצחק,15.11.2023,18:15:41,ירי רקטות וטילים
25104,שניר,15.11.2023,17:48:38,חדירת כלי טיס עוין
25103,שאר ישוב,15.11.2023,17:48:38,חדירת כלי טיס עוין
25102,קיבוץ דן,15.11.2023,17:48:38,חדירת כלי טיס עוין
25101,ע'ג'ר,15.11.2023,17:48:38,חדירת כלי טיס עוין
25100,הגושרים,15.11.2023,17:48:38,חדירת כלי טיס עוין
25099,דפנה,15.11.2023,17:48:38,חדירת כלי טיס עוין
25098,מתת,15.11.2023,15:18:18,ירי רקטות וטילים
25097,"שדרות, איבים, ניר עם",15.11.2023,15:16:46,ירי רקטות וטילים
25096,"שדרות, איבים, ניר עם",15.11.2023,15:00:31,ירי רקטות וטילים
25095,מטווח ניר עם,15.11.2023,15:00:25,ירי רקטות וטילים
25094,משגב עם,15.11.2023,14:05:18,ירי רקטות וטילים
25093,מבקיעים,15.11.2023,14:01:33,ירי רקטות וטילים
25090,זיקים,15.11.2023,14:01:32,ירי רקטות וטילים
25091,אשקלון - צפון,15.11.2023,14:01:31,ירי רקטות וטילים
25092,כרמיה,15.11.2023,14:01:29,ירי רקטות וטילים
25089,משען,15.11.2023,14:01:25,ירי רקטות וטילים
25088,כפר סילבר,15.11.2023,14:01:25,ירי רקטות וטילים
25087,גיאה,15.11.2023,14:01:25,ירי רקטות וטילים
25086,בת הדר,15.11.2023,14:01:25,ירי רקטות וטילים
25085,ברכיה,15.11.2023,14:01:25,ירי רקטות וטילים
25084,בית שקמה,15.11.2023,14:01:25,ירי רקטות וטילים
25083,אזור תעשייה צפוני אשקלון,15.11.2023,14:01:25,ירי רקטות וטילים
25082,אזור תעשייה הדרומי אשקלון,15.11.2023,14:01:21,ירי רקטות וטילים
25081,אשקלון - דרום,15.11.2023,14:01:21,ירי רקטות וטילים
25079,קריית שמונה,15.11.2023,14:00:21,ירי רקטות וטילים
25080,מרגליות,15.11.2023,14:00:16,ירי רקטות וטילים
25078,סופה,14.11.2023,20:07:17,ירי רקטות וטילים
25077,אילת,14.11.2023,19:51:11,ירי רקטות וטילים
25076,אילות,14.11.2023,19:51:11,ירי רקטות וטילים
25075,נירים,14.11.2023,19:46:31,ירי רקטות וטילים
25074,עין השלושה,14.11.2023,18:37:06,ירי רקטות וטילים
25073,נירים,14.11.2023,18:37:06,ירי רקטות וטילים
25072,חולון,14.11.2023,17:11:28,ירי רקטות וטילים
25071,בת-ים,14.11.2023,17:11:28,ירי רקטות וטילים
25070,תל אביב - מרכז העיר,14.11.2023,17:11:28,ירי רקטות וטילים
25069,תל אביב - דרום העיר ויפו,14.11.2023,17:11:28,ירי רקטות וטילים
25068,עין השלושה,14.11.2023,17:01:19,ירי רקטות וטילים
25067,סופה,14.11.2023,16:04:29,ירי רקטות וטילים
25066,עין השלושה,14.11.2023,15:55:44,ירי רקטות וטילים
25065,כיסופים,14.11.2023,15:55:44,ירי רקטות וטילים
25063,נחל עוז,14.11.2023,15:03:26,ירי רקטות וטילים
25064,סעד,14.11.2023,15:03:24,ירי רקטות וטילים
25062,כרם שלום,14.11.2023,14:38:57,ירי רקטות וטילים
25061,עלומים,14.11.2023,14:10:00,ירי רקטות וטילים
25060,נחל עוז,14.11.2023,14:10:00,ירי רקטות וטילים
25059,עלומים,14.11.2023,13:29:02,ירי רקטות וטילים
25058,סעד,14.11.2023,13:29:02,ירי רקטות וטילים
25057,נחל עוז,14.11.2023,13:29:02,ירי רקטות וטילים
25056,כפר עזה,14.11.2023,13:29:02,ירי רקטות וטילים
25055,שתולה,14.11.2023,13:26:44,ירי רקטות וטילים
25054,שומרה,14.11.2023,13:26:44,ירי רקטות וטילים
25053,זרעית,14.11.2023,13:26:44,ירי רקטות וטילים
25052,אבן מנחם,14.11.2023,13:26:44,ירי רקטות וטילים
25051,שומרה,14.11.2023,13:26:16,ירי רקטות וטילים
25050,נחל עוז,14.11.2023,13:18:41,ירי רקטות וטילים
25049,כיסופים,14.11.2023,13:00:43,ירי רקטות וטילים
25048,אילת,14.11.2023,12:43:59,ירי רקטות וטילים
25047,גיאה,14.11.2023,11:40:14,ירי רקטות וטילים
25046,בית שקמה,14.11.2023,11:40:14,ירי רקטות וטילים
25043,בת הדר,14.11.2023,11:40:09,ירי רקטות וטילים
25042,אזור תעשייה צפוני אשקלון,14.11.2023,11:40:09,ירי רקטות וטילים
25041,מבקיעים,14.11.2023,11:40:09,ירי רקטות וטילים
25040,כרמיה,14.11.2023,11:40:09,ירי רקטות וטילים
25039,יד מרדכי,14.11.2023,11:40:09,ירי רקטות וטילים
25038,זיקים,14.11.2023,11:40:09,ירי רקטות וטילים
25037,אזור תעשייה הדרומי אשקלון,14.11.2023,11:40:09,ירי רקטות וטילים
25045,אשקלון - צפון,14.11.2023,11:40:06,ירי רקטות וטילים
25044,אשקלון - דרום,14.11.2023,11:40:06,ירי רקטות וטילים
25036,נירים,14.11.2023,09:33:11,ירי רקטות וטילים
25035,ניר עוז,14.11.2023,08:52:12,ירי רקטות וטילים
