Name,Rate,Grade,Price,Review,DateOfVacation,SnapShotDate,LengthOfStay,TimeToTravel
"EVEN Midtown East Grand Central, an IHG Hotel",8.6,Excellent,"€240
€","(1,003 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
"EVEN Hotel Brooklyn, an IHG Hotel",8.0,Very good,"€172
€","(1,001 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
"Holiday Inn Brooklyn Downtown, an IHG Hotel",7.0,Good,"€175
€","(1,001 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
The Shoreham Hotel,7.8,Good,"€157
€",(999 reviews),2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Artezen Hotel,9.4,Exceptional,"€180
€","(1,362 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Truss Hotel Times Square,8.0,Very good,"€193
€",(562 reviews),2023-03-23-2023-03-24,2023-03-22,1 night,1.0
"PUBLIC, an Ian Schrager hotel",8.0,Very good,"€412
€","(1,477 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Pod Times Square,8.6,Excellent,"€173
€","(2,799 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
"Holiday Inn Express & Suites Woodside Queens NYC, an IHG Hotel",9.0,Wonderful,"€201
€",(223 reviews),2023-03-23-2023-03-24,2023-03-22,1 night,1.0
The Wall Street Inn,8.8,Excellent,"€146
€","(1,001 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
"Club Quarters Hotel, World Trade Center",8.6,Excellent,"€194
€","(1,111 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
The Belvedere Hotel,8.6,Excellent,"€185
€","(2,279 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Paramount Times Square,7.2,Good,"€156
€","(1,005 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,8.8,Excellent,"€179
€","(1,001 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Fairfield Inn by Marriott New York Manhattan/Times Square,8.0,Very good,"€194
€",(998 reviews),2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Walker Hotel Tribeca,8.6,Excellent,"€226
€",(379 reviews),2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Hampton Inn Manhattan/Times Square Central,8.6,Excellent,"€194
€","(1,337 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Hilton Garden Inn New York/Tribeca,8.4,Very good,"€173
€","(1,001 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
citizenM New York Bowery,9.2,Wonderful,"€258
€","(1,263 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
World Center Hotel,8.6,Excellent,"€194
€","(1,317 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Courtyard New York Manhattan/Times Square West,8.8,Excellent,"€247
€","(1,001 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Aloft Manhattan Downtown - Financial District,8.0,Very good,"€173
€",(999 reviews),2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Archer Hotel New York,9.0,Wonderful,"€290
€","(1,002 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Executive Hotel Le Soleil New York,8.6,Excellent,"€229
€","(1,796 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Dream Downtown,7.2,Good,"€237
€","(1,002 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
citizenM New York Times Square,9.0,Wonderful,"€247
€","(1,236 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
The Jane Hotel,8.4,Very good,"€134
€","(1,000 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Hilton Garden Inn New York/Central Park South-Midtown West,7.4,Good,"€244
€","(1,037 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Royal Hotel Bronx,Uknown,Uknown,"€109
€",Uknown,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
"Crowne Plaza JFK Airport New York City, an IHG Hotel",6.8,"(1,919 reviews)","€206
€",Uknown,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Sonesta Simply Suites Jersey City,8.4,Very good,"€243
€",(999 reviews),2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Soho Grand Hotel,8.8,Excellent,"€367
€","(1,000 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Hotel Mulberry,9.0,Wonderful,"€173
€","(1,000 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Fairfield Inn New York Manhattan/Financial District,8.0,Very good,"€173
€","(1,000 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Millennium Downtown New York,7.4,Good,"€222
€","(2,552 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Park Central Hotel New York,8.0,Very good,"€283
€","(1,850 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Hudson River Hotel,7.0,Good,"€132
€",(999 reviews),2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Sheraton Tribeca New York Hotel,8.2,Very good,"€215
€","(1,003 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Hilton Garden Inn New York/West 35th Street,9.0,Wonderful,"€269
€","(1,014 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Hyatt Place New York City/Times Square,7.8,Good,"€247
€","(1,159 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
DoubleTree by Hilton New York Downtown,7.2,Good,"€194
€","(1,186 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Ameritania Hotel at Times Square,8.4,Very good,"€247
€","(1,240 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
INNSiDE by Meliá New York Nomad,8.8,Excellent,"€266
€","(1,371 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Four Points By Sheraton New York Downtown,7.4,Good,"€215
€","(1,002 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Park Terrace Hotel,9.2,Wonderful,"€332
€","(1,001 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
The Maritime Hotel,9.4,Exceptional,"€311
€","(1,001 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Omni Berkshire Place,9.0,Wonderful,"€320
€","(1,002 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Moxy NYC Times Square,8.4,Very good,"€307
€","(1,119 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
"Hotel Indigo Flushing, an IHG Hotel",8.2,Very good,"€206
€",(136 reviews),2023-03-23-2023-03-24,2023-03-22,1 night,1.0
"Crowne Plaza HY36 Midtown Manhattan, an IHG Hotel",9.0,Wonderful,"€352
€","(1,003 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Ramada by Wyndham New York Times Square West,7.6,Good,"€164
€",(998 reviews),2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Courtyard by Marriott New York Downtown Manhattan/Financial District,7.6,Good,"€194
€",(412 reviews),2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Hilton Garden Inn Times Square,8.2,Very good,"€205
€","(1,703 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
1 Hotel Central Park,9.0,Wonderful,"€513
€","(1,001 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
The Gallivant Times Square,6.6,"(1,847 reviews)","€178
€",Uknown,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Doubletree by Hilton New York Times Square South,8.4,Very good,"€258
€","(2,170 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
