Name,Location,Distance,Rate,Grade,Price,Review,TypeRoom,TypeBed,CancellationPolicy,DateOfVacation,SnapShotDate,numOfNights,TimeToTravel
Pestana Park Avenue,"Murray Hill, New York",1.9 km from center,8.5,Very Good,₪ 759,821 reviews,Classic Room,1 queen bed,Prepayment,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Margaritaville Resort Times Square,"Manhattan, New York",1.5 km from center,8.8,Excellent,₪ 715,"1,444 reviews",Standard King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Pod Times Square,"Hell's Kitchen, New York",1.4 km from center,8.1,Very Good,₪ 400,"12,866 reviews",Bunk Pod,2 twin beds,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Riu Plaza Manhattan Times Square,"Manhattan, New York",1 km from center,8.6,Excellent,₪ 687,"6,645 reviews",Deluxe King,1 king bed,Prepayment,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
The Herald 8 by LuxUrban,"Manhattan, New York",2 km from center,7.7,Good,₪ 639,"2,309 reviews",King Room,1 king bed,Free cancellation,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
West Side YMCA,"Upper West Side, New York",350 m from center,6.6,Review score,₪ 340,"7,538 reviews",Bunk Bed Room with Shared Bathroom,1 bunk bed,Prepayment,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
The Cloud One New York-Downtown,"Wall Street - Financial District, New York",7 km from center,8.2,Very Good,₪ 620,580 reviews,Standard King Room,1 king bed,Prepayment,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
YOTEL New York Times Square,"Hell's Kitchen, New York",1.5 km from center,7.1,Good,₪ 442,"3,810 reviews",Empire State Building View,1 full bed,Prepayment,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
The Tuscany Powered by LuxUrban,"Murray Hill, New York",2.1 km from center,7.9,Good,₪ 769,107 reviews,Deluxe Studio,1 king bed,Free cancellation,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
"Hotel Shocard Broadway, Times Square","Manhattan, New York",1.5 km from center,7.6,Good,₪ 440,"1,057 reviews",Standard Double Room,1 full bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
U Hotel Fifth Avenue I Empire State Building,"Manhattan, New York",2.1 km from center,7.9,Good,₪ 476,"1,711 reviews",Double Room,1 full bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Millennium Hotel Broadway Times Square,"Manhattan, New York",1.3 km from center,7.0,Good,₪ 528,"5,914 reviews",Queen Room with Bath Tub - Hearing/Mobility Accessible,1 queen bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
CIVILIAN Hotel,"Hell's Kitchen, New York",0.9 km from center,8.5,Very Good,₪ 730,"1,233 reviews",Double Room,1 queen bed,Free cancellation,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
TownePlace Suites by Marriott New York Manhattan/Chelsea,"Chelsea, New York",2.5 km from center,8.1,Very Good,₪ 730,"2,415 reviews",King Studio with Kitchenette,"Entire studio • 1 bathroom • 19m²
1 king bed",FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
