loan_num,request_id,lender_id,supplier_id,borrower_id,amount,age renge,status,sector,monthly house income,work status,number of employees at home,seniority of work,education,owned apartment,mortgage,ind_default
5947701,82958950,999488,69092759,333189646,7997,30-39,single parent,Energy & Electricity,"19,001-30,000",salaried employee,1,5+,high school,home owner,not mortgage,no
7730330,35150413,966842,64847121,202086627,69020,18-29,married,Banking & Capital Market,"19,001-30,000",self-employed,1,5+,Bachelor's degree,home owner,mortgage,no
6665403,70999432,536987,75602692,401942608,75000,30-39,married,Real Estate,"19,001-30,000",self-employed,1,5+,high school,home owner,not mortgage,no
1998459,31570339,704089,60245399,322971927,12400,50+,married,Energy & Electricity,"19,001-30,000",salaried employee,1,5+,high school,home owner,not mortgage,no
9212420,99751191,426505,15830146,998263362,99444,18-29,divorced,Real Estate,"19,001-30,000",self-employed,1,5+,no education,home owner,mortgage,no
2581939,19958933,306100,80407328,374661351,100000,50+,married,Real Estate,"12,001-19,000",self-employed,1,0-2,Bachelor's degree,not home owner,not mortgage,no
5571823,63334278,784422,19749735,529621654,10000,30-39,married,Real Estate,"19,001-30,000",self-employed,1,0-2,Bachelor's degree,home owner,not mortgage,no
3782068,85064406,473234,90230835,107201199,100000,18-29,married,Real Estate,"19,001-30,000",salaried employee,1,0-2,high school,home owner,not mortgage,no
4462042,46454648,613702,97515286,251936188,17900,18-29,single,Medicine,"0-12,000",salaried employee,1,0-2,Bachelor's degree,not home owner,not mortgage,no
7340752,23668995,406529,68986514,464048274,36000,18-29,single,Banking & Capital Market,"0-12,000",salaried employee,1,5+,Bachelor's degree,home owner,not mortgage,no
6450413,20786592,642645,57144117,193668316,8200,30-39,married,Banking & Capital Market,"0-12,000",salaried employee,1,5+,no education,not home owner,not mortgage,no
9465260,76465417,137768,52667207,597694158,71736,30-39,divorced,Banking & Capital Market,"0-12,000",salaried employee,1,5+,high school,home owner,not mortgage,no
8334061,19449414,990191,97633636,152050831,40992,50+,divorced,Real Estate,"19,001-30,000",self-employed,1,5+,Bachelor's degree,home owner,mortgage,no
9248574,68206661,311079,68260596,179204740,12900,30-39,married,Medicine,"12,001-19,000",salaried employee,1,0-2,Bachelor's degree,home owner,mortgage,no
1942546,79023645,147521,68265737,860590214,35868,30-39,single,Banking & Capital Market,"12,001-19,000",salaried employee,1,0-2,high school,not home owner,not mortgage,no
1600352,17834374,825640,30727033,469338750,107625,40-49,married,Banking & Capital Market,"19,001-30,000",salaried employee,1,5+,no education,home owner,not mortgage,no
7474826,53094989,733026,68249400,659938935,37440,30-39,married,Energy & Electricity,"12,001-19,000",salaried employee,1,5+,high school,home owner,mortgage,no
6262388,17855556,770867,70965026,328781268,70000,30-39,married,Real Estate,"19,001-30,000",self-employed,1,0-2,Bachelor's degree,home owner,not mortgage,no
3935751,54828499,410945,36087426,572822412,10560,30-39,single,Energy & Electricity,"19,001-30,000",salaried employee,1,5+,high school,not home owner,not mortgage,no
6223321,90020539,430481,17642143,244677959,,40-49,divorced,Banking & Capital Market,"0-12,000",salaried employee,1,5+,no education,not home owner,not mortgage,no
4839421,64371041,473721,57592568,520918785,30000,30-39,married,Banking & Capital Market,"12,001-19,000",salaried employee,1,5+,high school,home owner,mortgage,no
6975787,57101274,705064,83331330,940845643,31276,30-39,single,Banking & Capital Market,"12,001-19,000",salaried employee,1,5+,Bachelor's degree,not home owner,not mortgage,no
9603753,34153843,965621,74083722,668029436,101500,30-39,single,Real Estate,"19,001-30,000",self-employed,1,5+,no education,home owner,not mortgage,no
3182679,27932700,875024,53860108,633700856,54900,18-29,married,Real Estate,"19,001-30,000",self-employed,1,5+,high school,home owner,not mortgage,no
6537860,93164996,218725,81870521,105510661,100000,30-39,single,Real Estate,"19,001-30,000",self-employed,1,5+,high school,home owner,not mortgage,no
1523847,33985013,478590,62389146,599600007,25000,50+,divorced,Banking & Capital Market,"0-12,000",retired,1,5+,high school,home owner,not mortgage,no
5543739,61574521,764134,89307039,663514118,17000,30-39,married,Energy & Electricity,"19,001-30,000",self-employed,1,5+,high school,home owner,mortgage,no
7440858,86140703,411049,98188206,277483008,15375,18-29,married,Banking & Capital Market,"0-12,000",,1,0-2,Bachelor's degree,not home owner,not mortgage,no
9618575,72172011,805116,85303295,319284331,25731,18-29,single,Banking & Capital Market,"0-12,000",salaried employee,1,0-2,master's degree,not home owner,not mortgage,no
2560468,95696934,463511,35723499,431473561,42000,40-49,single,Banking & Capital Market,"19,001-30,000",salaried employee,1,5+,Bachelor's degree,not home owner,not mortgage,no
9551714,90050369,825528,20528596,430282260,30450,40-49,divorced,Banking & Capital Market,"19,001-30,000",salaried employee,1,5+,Bachelor's degree,not home owner,not mortgage,no
9870617,37557958,922275,73024296,403896262,12400,50+,divorced,Energy & Electricity,"19,001-30,000",self-employed,1,5+,,home owner,not mortgage,no
9184996,42949749,209929,41091156,949706815,27775,30-39,married,Real Estate,"12,001-19,000",salaried employee,1,5+,Bachelor's degree,home owner,not mortgage,no
9317870,93269299,870202,93346825,847755354,6149,30-39,married,Energy & Electricity,"19,001-30,000",salaried employee,1,5+,high school,not home owner,not mortgage,no
2123584,48141532,872275,34234013,729876354,23000,30-39,divorced,Banking & Capital Market,"19,001-30,000",salaried employee,1,5+,high school,home owner,mortgage,no
4074589,71218672,123424,21695983,411998225,50572,40-49,married,Medicine,"19,001-30,000",self-employed,2,0-2,Bachelor's degree,home owner,mortgage,no
7776367,28966181,279028,79924829,531777078,63438,40-49,married,Real Estate,"19,001-30,000",salaried employee,1,5+,Bachelor's degree,home owner,mortgage,no
4137130,23017874,390344,69429619,816924458,12400,30-39,married,Energy & Electricity,"12,001-19,000",salaried employee,1,5+,high school,not home owner,mortgage,no
3102896,32987826,543370,62288697,287050647,26655,50+,married,Banking & Capital Market,"19,001-30,000",retired,1,5+,high school,home owner,mortgage,no
9387859,44531770,221071,30726106,913442310,24000,30-39,married,Banking & Capital Market,"19,001-30,000",salaried employee,2,5+,high school,home owner,not mortgage,no
8831328,20213976,217160,71577176,854874380,50000,40-49,married,Banking & Capital Market,"12,001-19,000",salaried employee,1,5+,Bachelor's degree,home owner,not mortgage,no
1000643,20156945,371765,85447883,501201798,10759,30-39,single,Banking & Capital Market,"0-12,000",salaried employee,1,0-2,Bachelor's degree,not home owner,not mortgage,no
3976842,30358748,418141,59422301,767241759,11185,18-29,single,Transportation,"0-12,000",salaried employee,1,5+,no education,not home owner,not mortgage,no
9310486,92096742,553514,27976897,328903569,100000,40-49,married,Real Estate,"12,001-19,000",salaried employee,1,5+,no education,home owner,mortgage,no
7515923,96086025,876777,30124462,574827176,10320,18-29,single,Energy & Electricity,"12,001-19,000",salaried employee,1,0-2,no education,not home owner,not mortgage,no
9430177,15479443,859333,83822112,568580714,10320,18-29,single,Energy & Electricity,"12,001-19,000",self-employed,1,5+,Bachelor's degree,not home owner,not mortgage,no
5303592,47989645,512240,23586455,434933646,26761,50+,widower,Banking & Capital Market,"0-12,000",salaried employee,1,5+,no education,home owner,not mortgage,no
2592203,70703445,298958,13399070,661669052,99978,30-39,single,Real Estate,"19,001-30,000",self-employed,1,5+,high school,not home owner,not mortgage,no
5705475,93936561,309634,79043288,267238797,13000,30-39,married,Banking & Capital Market,"19,001-30,000",salaried employee,1,5+,high school,not home owner,not mortgage,no
5570326,48494111,537854,65862400,824136175,6151,40-49,divorced,Banking & Capital Market,"0-12,000",salaried employee,1,5+,Bachelor's degree,not home owner,not mortgage,no
4077029,84289623,131577,91864927,683852092,5900,30-39,married,Energy & Electricity,"0-12,000",salaried employee,1,5+,no education,not home owner,mortgage,no
5547064,55882465,379985,85872198,547894503,5050,18-29,single,Energy & Electricity,"0-12,000",salaried employee,1,5+,master's degree,home owner,not mortgage,no
4779481,55791270,877798,10923565,460458760,25000,30-39,single,Banking & Capital Market,"0-12,000",salaried employee,1,5+,no education,home owner,not mortgage,no
6667124,79365073,121553,98238375,690484754,9300,30-39,married,Medicine,"19,001-30,000",salaried employee,2,0-2,Bachelor's degree,home owner,not mortgage,no
7411091,59367686,970583,96723432,702327309,102480,30-39,divorced,Real Estate,"19,001-30,000",self-employed,1,5+,no education,not home owner,not mortgage,no
9718328,38399585,436264,55980259,633350179,18000,18-29,single,Banking & Capital Market,"0-12,000",salaried employee,1,5+,Bachelor's degree,home owner,not mortgage,no
7693027,38012306,880160,89373870,398041628,17900,40-49,single,Medicine,"19,001-30,000",self-employed,1,5+,high school,home owner,mortgage,no
5169746,74015823,223491,38450562,553030137,18770,40-49,married,Banking & Capital Market,"12,001-19,000",salaried employee,1,5+,no education,home owner,mortgage,no
8735423,57032998,446781,75340860,152790227,101500,30-39,married,Real Estate,"19,001-30,000",self-employed,1,5+,high school,home owner,not mortgage,no
1150394,48083039,139309,29736407,671256654,11060,18-29,married,Energy & Electricity,"12,001-19,000",salaried employee,1,5+,high school,not home owner,not mortgage,no
9602715,19589441,881026,45994300,749405440,30756,30-39,single,Banking & Capital Market,"19,001-30,000",salaried employee,1,5+,no education,home owner,mortgage,no
4801944,97396418,369252,31688604,200714160,72500,30-39,married,Real Estate,"19,001-30,000",self-employed,1,0-2,Bachelor's degree,home owner,not mortgage,no
9459116,76056959,217985,92679546,240521804,58000,18-29,married,Real Estate,"12,001-19,000",salaried employee,1,5+,no education,home owner,mortgage,no
7664751,26085424,809730,19699102,389962613,60900,18-29,single,Real Estate,"19,001-30,000",salaried employee,1,5+,high school,not home owner,not mortgage,no
4202273,26248015,219584,85662986,514190608,46125,40-49,widower,Banking & Capital Market,"0-12,000",salaried employee,1,0-2,no education,not home owner,not mortgage,no
6446477,39390697,570276,38905518,890140340,17220,18-29,single,Banking & Capital Market,"0-12,000",salaried employee,1,0-2,high school,not home owner,not mortgage,no
5800622,60978987,815247,16332903,262091097,35970,50+,married,Real Estate,"19,001-30,000",salaried employee,1,5+,no education,not home owner,not mortgage,no
9536741,46782496,875193,36499186,471458526,58800,30-39,divorced,Banking & Capital Market,"12,001-19,000",self-employed,1,5+,high school,not home owner,not mortgage,no
9495656,71466120,428810,71137932,152136741,12400,30-39,married,Energy & Electricity,"12,001-19,000",salaried employee,1,0-2,Bachelor's degree,home owner,not mortgage,no
6971139,78088690,640612,85790840,609899979,11064,18-29,single,Energy & Electricity,"12,001-19,000",salaried employee,1,0-2,high school,home owner,not mortgage,no
3567426,85257981,124181,88271269,714931193,10320,40-49,married,Energy & Electricity,"19,001-30,000",self-employed,1,5+,high school,home owner,not mortgage,no
4468429,86366766,363505,88996800,735485759,20199,18-29,married,Medicine,"0-12,000",salaried employee,1,5+,Bachelor's degree,not home owner,not mortgage,no
2286777,73270278,808131,29237174,575586835,12400,18-29,single,Energy & Electricity,"19,001-30,000",self-employed,1,5+,no education,home owner,not mortgage,no
2322839,20673841,385143,46441071,497164872,100000,30-39,married,Real Estate,"19,001-30,000",salaried employee,1,5+,high school,home owner,not mortgage,no
3740944,77868193,500987,41044555,801866016,46125,18-29,single,Real Estate,"0-12,000",salaried employee,1,0-2,high school,home owner,not mortgage,no
