credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid,gender,region
1,all_other,0.1253,83.67,9.761463053,16.32,692,7320,1245,31.1,0,0,0,0,female,Center
1,debt_consolidation,0.1496,692.9,10.89673933,11.78,682,1709.958333,25216,59.9,1,0,0,0,male,Center
1,home_improvement,0.1218,499.5,12.07539432,10.19,717,3840,19315,72.1,2,0,0,0,male,Center
1,major_purchase,0.1253,87.02,10.61624126,13.54,687,2159.958333,9847,24.1,1,0,0,0,female,East
1,educational,0.0894,158.86,9.729134165,14.93,732,3569.958333,6109,43.9,1,0,0,0,female,South
1,debt_consolidation,0.1461,275.81,11.65268741,13.36,677,4349.958333,2884,96.8,2,0,0,1,female,West
1,credit_card,0.1392,307.24,11.35040654,9.19,677,2069.958333,40,1,2,0,0,0,female,East
1,all_other,0.1218,90.75,10.81977828,1.92,727,3209.958333,0,0,3,0,0,1,male,South
1,debt_consolidation,0.1183,497.01,11.38509209,19.7,732,6481.958333,32725,41.9,2,0,0,0,male,Center
1,all_other,0.1287,336.34,11.04132055,13.63,712,2340,5338,86.1,1,0,0,0,male,West
1,debt_consolidation,0.0774,280.97,10.9156156,11.88,777,11249.95833,8805,8.4,3,1,0,1,male,West
1,credit_card,0.1114,147.62,10.37349118,12.98,727,2069.958333,10491,27,3,0,0,1,male,West
1,major_purchase,0.1148,329.69,10.39352663,18.19,782,2160.958333,0,0,0,0,0,0,male,West
1,credit_card,0.0894,57.19,11.21182037,13.28,717,4980.958333,34751,76.5,1,0,0,0,female,East
1,major_purchase,0.1148,316.5,10.97382039,10.99,717,3660,4431,17.3,2,0,0,0,female,East
1,all_other,0.0894,381.26,10.37349118,18.56,757,4739.958333,16588,38.3,1,0,0,0,female,South
1,home_improvement,0.0894,444.81,11.2515607,15.8,752,9779.958333,1842,5,0,0,0,0,female,South
1,all_other,0.0894,245.44,10.77895629,16.63,732,3629.958333,15355,35.5,2,0,0,0,female,South
1,debt_consolidation,0.1496,415.74,10.59778407,19.78,687,1170,3147,73.2,0,0,0,0,female,South
1,credit_card,0.1913,918.02,11.90496755,18.54,662,4890,46031,77.4,1,1,0,1,female,South
1,debt_consolidation,0.1531,515.27,11.00209984,15.5,672,3629.958333,7237,45,1,1,0,1,male,Center
1,small_business,0.16,703.15,10.56874953,8.14,757,1439.958333,2120,13.5,3,0,0,0,male,Center
1,credit_card,0.1357,509.53,11.30220443,0.81,752,4770,981,1.1,7,1,0,1,male,Center
1,major_purchase,0.0859,240.24,11.22524339,10.5,757,14400,12952,27.2,0,0,0,0,male,West
1,debt_consolidation,0.1426,329.34,10.81977828,19.61,682,3150.958333,4301,93.5,0,1,0,0,male,East
1,small_business,0.1565,139.95,10.91508846,10.82,697,7949.958333,405,6.2,1,0,0,0,male,East
1,credit_card,0.1322,642.22,11.47210347,10.95,712,4319.958333,19304,41.8,2,1,0,0,male,Center
1,small_business,0.1565,227.41,9.903487553,18.9,727,2429.958333,24,6,0,0,0,0,female,Center
1,debt_consolidation,0.1565,209.92,10.48893816,22.89,682,2519.958333,5019,98.4,1,0,0,0,male,Center
1,major_purchase,0.1148,395.63,10.30895266,2.8,732,5250,8526,15.6,2,0,0,0,male,Center
1,all_other,0.1392,85.35,10.6454249,21.17,667,2519.958333,20323,78.8,3,0,0,0,female,East
1,debt_consolidation,0.1148,494.53,10.727663,8.84,737,4410,13819,56.4,0,0,0,0,female,South
1,all_other,0.1183,530.15,12.22587527,6.29,727,7559.958333,41977,25.4,1,0,0,0,female,West
1,debt_consolidation,0.0774,206.05,14.12446477,0.62,782,4709.958333,20,0.1,2,0,0,0,female,East
1,debt_consolidation,0.1357,543.5,11.00209984,18.58,697,2524.958333,24089,60.2,0,0,0,0,male,South
1,debt_consolidation,0.1253,803.2,11.00209984,17.9,732,4649.958333,26715,39.8,1,0,0,0,male,Center
1,debt_consolidation,0.167,710.03,11.69524702,3.88,692,4650.958333,16725,99,1,0,0,0,male,West
1,credit_card,0.1114,68.89,9.574983486,6.75,712,3149.958333,2256,53.7,0,0,0,0,male,West
1,debt_consolidation,0.0774,249.75,10.23995979,16.5,772,6720,7943,25.1,0,0,0,0,male,West
1,all_other,0.1287,840.83,13.71015004,1.16,747,4890,30706,44,1,0,0,0,male,West
1,debt_consolidation,0.1392,327.72,11.19821472,13.55,682,8430,618,1.8,0,1,0,0,female,East
1,debt_consolidation,0.1183,157.39,9.862665558,22.69,717,3330,11023,79.3,0,0,0,0,female,East
1,all_other,0.1322,253.51,11.19821472,11.74,682,4384,21075,59.8,2,1,0,0,female,South
1,all_other,0.1531,452.6,10.42821608,20.52,712,1200,1867,66.7,1,0,0,0,female,South
1,debt_consolidation,0.0705,92.7,10.59663473,9.48,772,6179.958333,1326,18.2,0,0,0,0,female,South
1,debt_consolidation,0.1114,196.83,10.77895629,8.82,722,3239.958333,3688,32.1,0,0,0,0,female,South
1,debt_consolidation,0.1183,397.61,10.59663473,17.61,722,2190,7383,35,0,0,0,0,female,South
1,debt_consolidation,0.1357,285.34,10.81977828,5.78,682,4380.958333,3743,83.2,2,1,0,1,male,Center
1,major_purchase,0.1496,242.52,10.6454249,3.71,667,1920,1747,43.7,0,0,0,0,male,Center
1,major_purchase,0.1322,283.93,10.81977828,12.5,707,2580,3972,92.4,3,0,0,0,male,Center
1,debt_consolidation,0.1531,522.23,11.62625415,12.15,672,5369.958333,37859,82.5,1,1,0,0,male,West
1,debt_consolidation,0.1392,187.76,11.29177992,21.48,677,6630,62680,84.5,1,0,0,0,male,East
1,all_other,0.1322,219.71,10.59663473,8.64,757,3209.958333,6770,18.8,6,0,0,1,male,East
1,home_improvement,0.074,77.65,10.81174611,1.33,797,7589.958333,1844,2.9,0,0,0,0,male,Center
1,debt_consolidation,0.1426,34.31,10.71441777,24.61,662,2554,7153,53.4,0,1,0,0,female,Center
1,debt_consolidation,0.1635,556.44,10.77895629,18.13,717,1620,5481,99.7,0,0,0,0,male,Center
1,all_other,0.1496,866.13,11.17504424,8.73,702,5069.958333,8414,24.5,1,1,0,0,male,Center
1,debt_consolidation,0.1183,198.81,10.71441777,23.15,702,3632,13029,58.7,0,0,0,0,female,East
1,debt_consolidation,0.1322,507.01,10.3809632,15.63,707,14879.95833,14489,89.4,0,0,0,0,female,South
1,credit_card,0.1287,201.8,10.96819829,18.12,687,3480,6184,85.9,1,0,0,0,female,West
1,all_other,0.0894,190.63,10.30895266,14.72,757,2099.958333,144,5.8,0,0,0,0,female,East
1,all_other,0.1426,41.17,8.476371197,13.75,702,2580,0,36.5,0,0,0,1,male,South
1,debt_consolidation,0.0894,174.75,11.28978191,9.29,742,3090,7057,49.3,4,0,0,0,male,Center
1,home_improvement,0.1183,414.18,10.91508846,1.07,737,3569.958333,2054,11.4,0,0,0,0,male,West
1,debt_consolidation,0.1357,407.63,11.60823564,10.46,677,8339.958333,7259,59,0,0,1,0,male,West
1,debt_consolidation,0.1253,70.28,11.12726298,8.33,682,5429.958333,11023,72,3,0,1,0,male,West
1,all_other,0.1253,167.34,9.700146629,4.85,722,1110,1231,11.8,3,0,0,1,male,West
1,debt_consolidation,0.1635,551.14,11.42954386,14.45,662,4020,22689,84,0,0,0,0,female,East
1,debt_consolidation,0.1357,203.82,10.4341158,20.79,682,2310,5950,57.8,0,0,0,0,female,East
1,credit_card,0.1565,279.89,10.1266311,7.34,672,2160.958333,6706,97.2,1,0,0,0,female,South
1,small_business,0.1565,699.73,10.858999,0.35,797,9690.041667,39,0.6,1,0,0,0,female,South
1,debt_consolidation,0.1322,135.21,9.76995616,14.13,677,5759.958333,9874,62.5,1,0,0,0,female,South
1,credit_card,0.1183,298.21,11.1844214,19.5,737,4500,12893,90.8,1,0,0,0,female,South
1,debt_consolidation,0.1461,165.49,10.93310697,8.81,662,8220,5993,70.5,0,1,1,0,female,South
1,small_business,0.1531,269.82,11.75978554,24.08,712,8279.958333,39121,74.9,3,0,0,0,male,Center
1,educational,0.1183,828.35,11.49272276,4.87,767,9630.041667,3142,8.6,3,0,0,0,male,Center
1,debt_consolidation,0.1218,249.75,10.50012383,13.02,707,4140,6528,42.7,1,0,0,1,male,Center
1,debt_consolidation,0.1253,108.77,10.23995979,22.54,687,4110.041667,6211,58,2,0,0,0,male,West
1,debt_consolidation,0.1148,304.96,10.23995979,18.9,717,3724,16683,24.9,0,1,0,0,male,East
1,debt_consolidation,0.1287,121.08,11.23843599,1.58,692,3391,12135,85.5,3,0,0,0,male,East
1,debt_consolidation,0.2086,827.33,11.81303006,12.78,672,10169.95833,62553,44.2,2,0,0,0,male,Center
1,credit_card,0.074,217.42,10.60221911,8.89,772,9089.958333,14014,14.1,2,0,0,0,female,Center
1,debt_consolidation,0.0894,381.26,11.34332268,5.52,792,5280,1940,2.4,1,0,0,0,male,Center
1,small_business,0.1565,69.98,10.45737267,20.41,702,2549.958333,239,9.2,0,0,0,0,male,Center
1,home_improvement,0.06,190.14,10.52942598,10.3,747,2160.958333,543,0.9,6,0,0,0,female,East
1,debt_consolidation,0.1704,713.49,11.73606902,9.66,667,3644,32120,68.5,1,0,0,0,female,South
1,small_business,0.1461,577.46,11.65268741,10.12,747,3903,6341,21.4,0,0,0,0,female,West
1,all_other,0.1496,207.87,10.81977828,19.58,702,2849.958333,14306,99.3,0,0,0,0,female,East
1,all_other,0.1322,84.51,11.08214255,19.68,677,5399.958333,20241,66.4,1,0,0,0,male,South
1,all_other,0.1183,397.61,11.71993963,15.88,722,7442,46336,49.8,2,0,0,0,male,Center
1,debt_consolidation,0.0894,152.51,11.3736634,10.54,732,4140,27901,40.9,1,0,0,0,male,West
1,debt_consolidation,0.1114,377.25,11.88448902,3.32,757,4200,11484,52,0,0,0,0,male,West
1,all_other,0.1496,173.23,10.6281334,4.22,667,1470,5116,39.7,2,0,0,0,male,West
1,home_improvement,0.0859,316.11,11.23321156,4.75,752,5220,22078,19.8,2,0,0,0,male,West
1,credit_card,0.1218,333,10.4341158,22.34,712,7470,19034,26.3,1,1,0,0,female,East
