Name,Location,Distance,Rate,Grade,Price,Review,TypeRoom,TypeBed,CancellationPolicy,DateOfVacation,SnapShotDate,numOfNights,TimeToTravel
Walker Hotel Tribeca,"Chinatown, New York",5.8 km from center,8.1,Very Good,₪ 767,"1,277 reviews",Walker Queen Room,1 queen bed,Free cancellation,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Margaritaville Resort Times Square,"Manhattan, New York",1.5 km from center,8.8,Excellent,₪ 803,"1,459 reviews",Standard Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
The Tillary Hotel Brooklyn,"Downtown Brooklyn, Brooklyn",8 km from center,7.6,Good,₪ 426,211 reviews,Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
"Holiday Inn Express & Suites Jersey City - Holland Tunnel, an IHG Hotel",Jersey City,6.4 km from center,8.2,Very Good,₪ 623,"1,290 reviews",Standard Room,,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Royalton New York,"Manhattan, New York",1.4 km from center,7.6,Good,"₪ 1,023","1,400 reviews",Standard Queen Room,1 queen bed,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Paramount Hotel Times Square,"Manhattan, New York",1 km from center,6.5,Review score,₪ 422,"2,522 reviews",Double Room - Disability Access,1 full bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Holland Hotel Free Parking Jersey City,Jersey City,6.5 km from center,8.3,Very Good,₪ 459,961 reviews,Standard Double Room,,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
33 Seaport Hotel New York,"Wall Street - Financial District, New York",6.9 km from center,8.7,Excellent,"₪ 1,119",284 reviews,Superior Courtyard King,1 king bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Midtown West Hotel,"Hell's Kitchen, New York",2.3 km from center,5.4,Review score,₪ 510,"1,105 reviews",Queen Room with Private Bathroom,1 queen bed,Free cancellation,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Aloft Brooklyn,"Downtown Brooklyn, Brooklyn",8.5 km from center,6.0,Review score,₪ 583,875 reviews,"Guest Room, 1 King",1 king bed,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
W Hoboken,Hoboken,5 km from center,8.4,Very Good,₪ 913,250 reviews,King Room,1 king bed,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Hyatt House Jersey City,Jersey City,7.3 km from center,8.2,Very Good,₪ 789,"1,531 reviews",King Room,1 king bed,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Americana Inn,"Manhattan, New York",1.8 km from center,7.2,Good,₪ 513,651 reviews,Standard Double Room with Shared Bathroom,1 full bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
The Jane Hotel,"Greenwich Village, New York",4.1 km from center,7.4,Good,₪ 513,"1,900 reviews",Bunk Bed Cabin with shared bathroom,1 bunk bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Pod Times Square,"Hell's Kitchen, New York",1.4 km from center,8.1,Very Good,₪ 510,"12,925 reviews",Bunk Pod,2 twin beds,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Pod Brooklyn,"Williamsburg, Brooklyn",6.2 km from center,8.2,Very Good,₪ 656,"2,876 reviews",Queen Pod - Disability Access,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Hotel Mulberry,"Chinatown, New York",6.1 km from center,8.4,Very Good,₪ 656,366 reviews,Deluxe King Room with City View,1 king bed,Free cancellation,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Ramada by Wyndham New York Times Square West,"Hell's Kitchen, New York",1.2 km from center,6.9,Review score,₪ 496,"2,611 reviews",Deluxe King Room - Non-Smoking,1 king bed,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
West Side YMCA,"Upper West Side, New York",350 m from center,6.6,Review score,₪ 396,"7,582 reviews",Bunk Bed Room with Shared Bathroom,1 bunk bed,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
LIC Hotel,"Long Island City, Queens",3.6 km from center,8.4,Very Good,₪ 488,"1,993 reviews",Superior Twin Room,2 twin beds,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Hyatt Place Long Island City,"Long Island City, Queens",4.1 km from center,8.5,Very Good,₪ 551,893 reviews,King Room,,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Courtyard By Marriott Jersey City Newport,"Newport, Jersey City",6.3 km from center,8.3,Very Good,₪ 840,417 reviews,King Room with Sofa Bed,"2 beds (1 king, 1 sofa bed)",Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
The Manhattan at Times Square,"Manhattan, New York",0.7 km from center,5.6,Review score,₪ 349,"4,113 reviews",Run of House,1 full bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Sheraton Brooklyn New York,"Downtown Brooklyn, Brooklyn",8.5 km from center,7.1,Good,₪ 730,"1,810 reviews","Guest Room, 1 King",1 king bed,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Feather Factory Hotel,"Long Island City, Queens",4.3 km from center,8.0,Very Good,₪ 433,"1,419 reviews",Standard Double Room,1 full bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
American Dream,"Gramercy, New York",3.2 km from center,8.3,Very Good,₪ 604,168 reviews,Twin Room with Shared Bathroom,1 bunk bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
The Washington by LuxUrban,"Wall Street - Financial District, New York",7.1 km from center,8.2,Very Good,₪ 623,"2,839 reviews",Standard King,1 king bed,Free cancellation,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Canopy By Hilton Jersey City Arts District,"Downtown Jersey City, Jersey City",7.3 km from center,8.9,Excellent,₪ 876,667 reviews,Queen Room with Two Queen Beds,2 queen beds,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
The FIDI Hotel,"Wall Street - Financial District, New York",7.6 km from center,8.9,Excellent,₪ 546,13 reviews,Standard Queen,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
"Holiday Inn Express Manhattan Midtown West, an IHG Hotel","Hell's Kitchen, New York",1.1 km from center,6.6,Review score,₪ 685,741 reviews,King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
La Quinta by Wyndham New York City Central Park,"Upper West Side, New York",1 km from center,6.6,Review score,₪ 730,"2,752 reviews",1 Double Bed - Non Smoking,1 full bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Hyatt Regency Jersey City,Jersey City,7.1 km from center,8.0,Very Good,"₪ 1,096",886 reviews,King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Da Vinci Hotel,"Manhattan, New York",250 m from center,7.3,Good,₪ 554,657 reviews,Standard Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Sonesta Simply Suites Jersey City,Jersey City,6.8 km from center,8.5,Very Good,₪ 739,654 reviews,Studio Queen Suite with Roll-In Shower - Mobility Accessible,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Fairfield Inn & Suites New York Manhattan/Downtown East,"Chinatown, New York",6.2 km from center,8.0,Very Good,₪ 711,336 reviews,King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
The Cloud One New York-Downtown,"Wall Street - Financial District, New York",7 km from center,8.2,Very Good,₪ 730,617 reviews,Standard King Room,1 king bed,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Hampton Inn Brooklyn Downtown,"Downtown Brooklyn, Brooklyn",8.1 km from center,8.4,Very Good,₪ 708,"1,803 reviews",King Room - Hearing Accessible,1 king bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Penny Williamsburg,"Williamsburg, Brooklyn",6.3 km from center,8.8,Excellent,₪ 611,468 reviews,Queen,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Canal Loft Hotel,"Chinatown, New York",5.9 km from center,7.0,Good,₪ 470,878 reviews,Deluxe King Room,1 full bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
"Holiday Inn Express - Times Square, an IHG Hotel","Hell's Kitchen, New York",1.6 km from center,6.4,Review score,₪ 766,"2,558 reviews",Double Room with Roll-In Shower - Hearing Accessible,1 full bed,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
The Historic Blue Moon Hotel - NYC,"Lower East Side, New York",5.5 km from center,7.7,Good,₪ 656,51 reviews,Pied - a - Terre,1 king bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
The Gallivant Times Square,"Manhattan, New York",0.9 km from center,6.5,Review score,₪ 583,"4,080 reviews",Standard Accessible Room,1 full bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
The William Vale,"Williamsburg, Brooklyn",5.5 km from center,8.1,Very Good,"₪ 1,082","1,149 reviews",Queen Room with Balcony,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
The Ridge,"Lower East Side, New York",5.1 km from center,6.7,Review score,₪ 446,543 reviews,Three's Company,1 bunk bed,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
3 West Club,"Manhattan, New York",1 km from center,8.5,Very Good,₪ 840,307 reviews,Superior Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Radio Hotel,"Washington Heights, New York",9.8 km from center,8.3,Very Good,₪ 532,389 reviews,Standard Studio,"Entire studio • 1 bathroom • 17m²
1 queen bed",Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Radio City Apartments,"Manhattan, New York",0.9 km from center,8.5,Very Good,₪ 730,"3,811 reviews",Queen Studio,1 queen bed,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Moxy Brooklyn Williamsburg,"Williamsburg, Brooklyn",6.5 km from center,7.0,Good,₪ 789,2 reviews,King Room,1 king bed,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Hilton Garden Inn Times Square,"Manhattan, New York",0.9 km from center,7.5,Good,₪ 766,"2,185 reviews",Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
U.S. Pacific Hotel,"Chinatown, New York",5.7 km from center,5.6,Review score,₪ 323,"1,139 reviews",Standard Double (No Window),1 full bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
U Hotel Fifth Avenue I Empire State Building,"Manhattan, New York",2.1 km from center,7.9,Good,₪ 586,"1,719 reviews",Double Room,1 full bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Hampton Inn Manhattan Times Square North,"Hell's Kitchen, New York",0.6 km from center,7.8,Good,₪ 766,"2,676 reviews",Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
"The Standard, High Line New York","Greenwich Village, New York",3.7 km from center,8.1,Very Good,"₪ 1,181","1,745 reviews",Standard Queen Room,1 queen bed,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
The Tuscany Powered by LuxUrban,"Murray Hill, New York",2.1 km from center,7.8,Good,"₪ 1,005",122 reviews,Deluxe Studio,1 king bed,Free cancellation,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Moderne Hotel,"Manhattan, New York",350 m from center,7.8,Good,₪ 803,533 reviews,Queen Room - Disability Access,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
M Social Hotel Times Square New York,"Manhattan, New York",0.6 km from center,8.4,Very Good,₪ 913,"5,657 reviews",Social City View King,1 king bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
The Hotel Chelsea,"Chelsea, New York",2.9 km from center,9.3,Wonderful,"₪ 1,139",411 reviews,The Chelsea,1 king bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Comfort Inn Manhattan - Midtown West,"Hell's Kitchen, New York",1.1 km from center,6.9,Review score,₪ 763,882 reviews,Queen Room - Non Smoking,1 queen bed,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Courtyard by Marriott New York Manhattan/Central Park,"Manhattan, New York",450 m from center,8.2,Very Good,"₪ 1,023","3,338 reviews",King or Queen Room with City View,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
TownePlace Suites by Marriott New York Manhattan/Chelsea,"Chelsea, New York",2.5 km from center,8.1,Very Good,₪ 913,"2,440 reviews",King Studio with Kitchenette,"Entire studio • 1 bathroom • 19m²
1 king bed",FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Hilton Garden Inn New York Central Park South-Midtown West,"Manhattan, New York",450 m from center,7.1,Good,₪ 838,"5,556 reviews",King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
The Belvedere Hotel,"Hell's Kitchen, New York",0.9 km from center,8.0,Very Good,₪ 620,"3,701 reviews",Standard King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Doxie Hotel,"Manhattan, New York",1.7 km from center,6.3,Review score,₪ 484,368 reviews,Twin Room,2 twin beds,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
CIVILIAN Hotel,"Hell's Kitchen, New York",0.9 km from center,8.5,Very Good,₪ 913,"1,250 reviews",Double Room,1 queen bed,Free cancellation,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Riu Plaza Manhattan Times Square,"Manhattan, New York",1 km from center,8.6,Excellent,"₪ 1,052","6,704 reviews",Deluxe King,1 king bed,Prepayment,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
