Name,Rate,Grade,Price,Review,DateOfVacation,SnapShotDate,LengthOfStay,TimeToTravel
"Holiday Inn Express - New York City Chelsea, an IHG Hotel",7.8,Good,"€168
€","(1,003 reviews)",2023-03-26-2023-03-27,2023-03-25,1 night,1.0
Fairfield Inn & Suites New York Midtown Manhattan/Penn Station,8.6,Excellent,"€179
€","(1,237 reviews)",2023-03-26-2023-03-27,2023-03-25,1 night,1.0
33 Seaport Hotel New York,8.8,Excellent,"€306
€",(303 reviews),2023-03-26-2023-03-27,2023-03-25,1 night,1.0
"PUBLIC, an Ian Schrager hotel",8.0,Very good,"€263
€","(1,482 reviews)",2023-03-26-2023-03-27,2023-03-25,1 night,1.0
Broadway Plaza Hotel,8.8,Excellent,"€118
€","(1,153 reviews)",2023-03-26-2023-03-27,2023-03-25,1 night,1.0
Four Points By Sheraton New York Downtown,7.4,Good,"€125
€","(1,013 reviews)",2023-03-26-2023-03-27,2023-03-25,1 night,1.0
"Club Quarters, Times Square - Midtown",8.4,Very good,"€147
€","(1,785 reviews)",2023-03-26-2023-03-27,2023-03-25,1 night,1.0
Sheraton Tribeca New York Hotel,8.2,Very good,"€130
€","(1,005 reviews)",2023-03-26-2023-03-27,2023-03-25,1 night,1.0
Hotel 32 32,8.0,Very good,"€175
€","(1,298 reviews)",2023-03-26-2023-03-27,2023-03-25,1 night,1.0
Doubletree by Hilton New York Times Square South,8.4,Very good,"€169
€","(2,179 reviews)",2023-03-26-2023-03-27,2023-03-25,1 night,1.0
The Shoreham Hotel,7.8,Good,"€138
€","(1,006 reviews)",2023-03-26-2023-03-27,2023-03-25,1 night,1.0
"Club Quarters Hotel, World Trade Center",8.6,Excellent,"€153
€","(1,117 reviews)",2023-03-26-2023-03-27,2023-03-25,1 night,1.0
"Club Quarters Hotel, Grand Central",8.2,Very good,"€167
€","(1,165 reviews)",2023-03-26-2023-03-27,2023-03-25,1 night,1.0
"The Jewel, a Club Quarters Hotel, Opposite Rockefeller Center",9.2,Wonderful,"€166
€","(1,258 reviews)",2023-03-26-2023-03-27,2023-03-25,1 night,1.0
Four Points by Sheraton Manhattan SoHo Village,8.2,Very good,"€119
€","(1,002 reviews)",2023-03-26-2023-03-27,2023-03-25,1 night,1.0
