index,Name,Rate,Grade,Price,Review,SnapShotDate,LengthOfStay,TimeToTravel,Start_Date,End_Date
0,"EVEN Midtown East Grand Central, an IHG Hotel",8.6,9,943.2,1003,2023-03-22,1,1.0,2023-03-23,2023-03-24
1,"EVEN Hotel Brooklyn, an IHG Hotel",8.0,8,675.96,1001,2023-03-22,1,1.0,2023-03-23,2023-03-24
2,"Holiday Inn Brooklyn Downtown, an IHG Hotel",7.0,7,687.75,1001,2023-03-22,1,1.0,2023-03-23,2023-03-24
3,The Shoreham Hotel,7.8,7,617.01,999,2023-03-22,1,1.0,2023-03-23,2023-03-24
4,Artezen Hotel,9.4,10,707.4,1362,2023-03-22,1,1.0,2023-03-23,2023-03-24
5,Truss Hotel Times Square,8.0,8,758.49,562,2023-03-22,1,1.0,2023-03-23,2023-03-24
6,"PUBLIC, an Ian Schrager hotel",8.0,8,1619.16,1477,2023-03-22,1,1.0,2023-03-23,2023-03-24
7,Pod Times Square,8.6,9,679.89,2799,2023-03-22,1,1.0,2023-03-23,2023-03-24
8,"Holiday Inn Express & Suites Woodside Queens NYC, an IHG Hotel",9.0,9,789.9300000000001,223,2023-03-22,1,1.0,2023-03-23,2023-03-24
9,The Wall Street Inn,8.8,9,573.78,1001,2023-03-22,1,1.0,2023-03-23,2023-03-24
10,"Club Quarters Hotel, World Trade Center",8.6,9,762.4200000000001,1111,2023-03-22,1,1.0,2023-03-23,2023-03-24
11,The Belvedere Hotel,8.6,9,727.0500000000001,2279,2023-03-22,1,1.0,2023-03-23,2023-03-24
12,Paramount Times Square,7.2,7,613.08,1005,2023-03-22,1,1.0,2023-03-23,2023-03-24
13,Hilton Garden Inn NYC Financial Center/Manhattan Downtown,8.8,9,703.47,1001,2023-03-22,1,1.0,2023-03-23,2023-03-24
14,Fairfield Inn by Marriott New York Manhattan/Times Square,8.0,8,762.4200000000001,998,2023-03-22,1,1.0,2023-03-23,2023-03-24
15,Walker Hotel Tribeca,8.6,9,888.1800000000001,379,2023-03-22,1,1.0,2023-03-23,2023-03-24
16,Hampton Inn Manhattan/Times Square Central,8.6,9,762.4200000000001,1337,2023-03-22,1,1.0,2023-03-23,2023-03-24
17,Hilton Garden Inn New York/Tribeca,8.4,8,679.89,1001,2023-03-22,1,1.0,2023-03-23,2023-03-24
18,citizenM New York Bowery,9.2,9,1013.94,1263,2023-03-22,1,1.0,2023-03-23,2023-03-24
19,World Center Hotel,8.6,9,762.4200000000001,1317,2023-03-22,1,1.0,2023-03-23,2023-03-24
20,Courtyard New York Manhattan/Times Square West,8.8,9,970.71,1001,2023-03-22,1,1.0,2023-03-23,2023-03-24
21,Aloft Manhattan Downtown - Financial District,8.0,8,679.89,999,2023-03-22,1,1.0,2023-03-23,2023-03-24
22,Archer Hotel New York,9.0,9,1139.7,1002,2023-03-22,1,1.0,2023-03-23,2023-03-24
23,Executive Hotel Le Soleil New York,8.6,9,899.97,1796,2023-03-22,1,1.0,2023-03-23,2023-03-24
24,Dream Downtown,7.2,7,931.4100000000001,1002,2023-03-22,1,1.0,2023-03-23,2023-03-24
25,citizenM New York Times Square,9.0,9,970.71,1236,2023-03-22,1,1.0,2023-03-23,2023-03-24
26,The Jane Hotel,8.4,8,526.62,1000,2023-03-22,1,1.0,2023-03-23,2023-03-24
27,Hilton Garden Inn New York/Central Park South-Midtown West,7.4,7,958.9200000000001,1037,2023-03-22,1,1.0,2023-03-23,2023-03-24
30,Sonesta Simply Suites Jersey City,8.4,8,954.99,999,2023-03-22,1,1.0,2023-03-23,2023-03-24
31,Soho Grand Hotel,8.8,9,1442.31,1000,2023-03-22,1,1.0,2023-03-23,2023-03-24
32,Hotel Mulberry,9.0,9,679.89,1000,2023-03-22,1,1.0,2023-03-23,2023-03-24
33,Fairfield Inn New York Manhattan/Financial District,8.0,8,679.89,1000,2023-03-22,1,1.0,2023-03-23,2023-03-24
34,Millennium Downtown New York,7.4,7,872.46,2552,2023-03-22,1,1.0,2023-03-23,2023-03-24
35,Park Central Hotel New York,8.0,8,1112.19,1850,2023-03-22,1,1.0,2023-03-23,2023-03-24
36,Hudson River Hotel,7.0,7,518.76,999,2023-03-22,1,1.0,2023-03-23,2023-03-24
37,Sheraton Tribeca New York Hotel,8.2,8,844.95,1003,2023-03-22,1,1.0,2023-03-23,2023-03-24
38,Hilton Garden Inn New York/West 35th Street,9.0,9,1057.17,1014,2023-03-22,1,1.0,2023-03-23,2023-03-24
41,Ameritania Hotel at Times Square,8.4,8,970.71,1240,2023-03-22,1,1.0,2023-03-23,2023-03-24
42,INNSiDE by Meliá New York Nomad,8.8,9,1045.38,1371,2023-03-22,1,1.0,2023-03-23,2023-03-24
43,Four Points By Sheraton New York Downtown,7.4,7,844.95,1002,2023-03-22,1,1.0,2023-03-23,2023-03-24
44,Park Terrace Hotel,9.2,9,1304.76,1001,2023-03-22,1,1.0,2023-03-23,2023-03-24
45,The Maritime Hotel,9.4,10,1222.23,1001,2023-03-22,1,1.0,2023-03-23,2023-03-24
46,Omni Berkshire Place,9.0,9,1257.6000000000001,1002,2023-03-22,1,1.0,2023-03-23,2023-03-24
47,Moxy NYC Times Square,8.4,8,1206.51,1119,2023-03-22,1,1.0,2023-03-23,2023-03-24
48,"Hotel Indigo Flushing, an IHG Hotel",8.2,8,809.58,136,2023-03-22,1,1.0,2023-03-23,2023-03-24
50,Ramada by Wyndham New York Times Square West,7.6,7,644.52,998,2023-03-22,1,1.0,2023-03-23,2023-03-24
51,Courtyard by Marriott New York Downtown Manhattan/Financial District,7.6,7,762.4200000000001,412,2023-03-22,1,1.0,2023-03-23,2023-03-24
52,Hilton Garden Inn Times Square,8.2,8,805.65,1703,2023-03-22,1,1.0,2023-03-23,2023-03-24
53,1 Hotel Central Park,9.0,9,2016.0900000000001,1001,2023-03-22,1,1.0,2023-03-23,2023-03-24
55,Doubletree by Hilton New York Times Square South,8.4,8,1013.94,2170,2023-03-22,1,1.0,2023-03-23,2023-03-24
56,LIC Hotel,8.8,9,546.27,997,2023-03-22,1,1.0,2023-03-23,2023-03-24
58,"Holiday Inn Express Maspeth, an IHG Hotel",8.2,8,789.9300000000001,997,2023-03-22,1,1.0,2023-03-23,2023-03-24
59,Chelsea Savoy Hotel,8.6,9,844.95,1026,2023-03-22,1,1.0,2023-03-23,2023-03-24
60,Radio Hotel,8.8,9,683.82,385,2023-03-22,1,1.0,2023-03-23,2023-03-24
61,Arlo Midtown,9.2,9,1285.1100000000001,3230,2023-03-22,1,1.0,2023-03-23,2023-03-24
62,M Social Hotel Times Square New York,8.8,9,1096.47,2898,2023-03-22,1,1.0,2023-03-23,2023-03-24
63,Hyatt Place New York Midtown South,8.6,9,911.76,1000,2023-03-22,1,1.0,2023-03-23,2023-03-24
64,AC Hotel by Marriott New York Downtown,9.0,9,844.95,955,2023-03-22,1,1.0,2023-03-23,2023-03-24
65,Hampton Inn Manhattan-Times Square North,8.4,8,805.65,1739,2023-03-22,1,1.0,2023-03-23,2023-03-24
66,"Blue Angel Hotel NYC, Ascend Hotel Collection",8.6,9,691.6800000000001,859,2023-03-22,1,1.0,2023-03-23,2023-03-24
