,Unnamed: 0,ID,Area,Date,Time,Category
0,0,9,באר שבע 289,24.07.2014,17:06:49,ירי רקטות וטילים
1,1,8,"באר שבע 288, באר שבע 289",24.07.2014,17:06:15,ירי רקטות וטילים
2,2,7,באר שבע 288,24.07.2014,17:06:14,ירי רקטות וטילים
3,3,6,"באר שבע 288, באר שבע 291",24.07.2014,17:06:11,ירי רקטות וטילים
4,4,5,"באר שבע 288, באר שבע 289, באר שבע 291",24.07.2014,17:06:08,ירי רקטות וטילים
5,5,4,"באר שבע 289, באר שבע 291",24.07.2014,17:06:02,ירי רקטות וטילים
6,6,3,"אשקלון 256, באר שבע 289, באר שבע 291",24.07.2014,17:05:59,ירי רקטות וטילים
7,7,2,"באר שבע 288, אשקלון 256, באר שבע 289, באר שבע 291",24.07.2014,17:05:35,ירי רקטות וטילים
8,8,1,"באר שבע 288, באר שבע 289, באר שבע 291",24.07.2014,17:05:26,ירי רקטות וטילים
9,9,57,עוטף עזה 227,27.07.2014,23:19:00,ירי רקטות וטילים
10,10,56,עוטף עזה 216,27.07.2014,21:01:02,ירי רקטות וטילים
11,11,55,"אשקלון 255, עוטף עזה 216",27.07.2014,21:01:00,ירי רקטות וטילים
12,12,54,"אשקלון 254, אשקלון 255, עוטף עזה 216",27.07.2014,21:00:51,ירי רקטות וטילים
13,13,53,"אשקלון 254, אשקלון 255",27.07.2014,21:00:48,ירי רקטות וטילים
14,14,52,"אשקלון 254, עוטף עזה 216, אשקלון 255",27.07.2014,21:00:35,ירי רקטות וטילים
15,15,51,"אשקלון 254, עוטף עזה 216, אשקלון 255",27.07.2014,21:00:35,ירי רקטות וטילים
16,16,50,"אשקלון 254, עוטף עזה 216",27.07.2014,21:00:31,ירי רקטות וטילים
17,17,49,עוטף עזה 217,27.07.2014,20:03:04,ירי רקטות וטילים
18,18,48,עוטף עזה 224,27.07.2014,19:48:55,ירי רקטות וטילים
19,19,47,עוטף עזה 230,27.07.2014,19:31:59,ירי רקטות וטילים
20,20,46,עוטף עזה 237,27.07.2014,18:42:13,ירי רקטות וטילים
21,21,45,עוטף עזה 237,27.07.2014,18:41:49,ירי רקטות וטילים
22,22,44,עוטף עזה 217,27.07.2014,18:10:44,ירי רקטות וטילים
23,23,43,נגב 297,27.07.2014,17:24:29,ירי רקטות וטילים
24,24,42,"באר שבע 292, נגב 297",27.07.2014,17:23:41,ירי רקטות וטילים
25,25,41,"באר שבע 292, באר שבע 286, באר שבע 291, נגב 297",27.07.2014,17:23:31,ירי רקטות וטילים
26,26,40,"באר שבע 286, באר שבע 291",27.07.2014,17:23:22,ירי רקטות וטילים
27,27,39,"באר שבע 286, נגב 297, באר שבע 291",27.07.2014,17:23:21,ירי רקטות וטילים
28,28,38,"באר שבע 286, נגב 297, באר שבע 285, באר שבע 291",27.07.2014,17:23:06,ירי רקטות וטילים
29,29,37,"באר שבע 286, נגב 296, נגב 297, באר שבע 285, באר שבע 291",27.07.2014,17:22:53,ירי רקטות וטילים
30,30,36,"באר שבע 292, באר שבע 286, נגב 296, נגב 297, באר שבע 285, באר שבע 291",27.07.2014,17:22:45,ירי רקטות וטילים
31,31,35,"באר שבע 292, נגב 296, נגב 297, באר שבע 285",27.07.2014,17:22:41,ירי רקטות וטילים
32,32,34,"באר שבע 292, אשקלון 256, נגב 296, נגב 297, באר שבע 285",27.07.2014,17:22:37,ירי רקטות וטילים
33,33,33,"באר שבע 292, באר שבע 286, אשקלון 256, נגב 296, נגב 297, באר שבע 285",27.07.2014,17:22:33,ירי רקטות וטילים
